Offset_Hz,Frequency_Hz,TwoTapDelaySamples,NormalizedFirAttenuation_dB
-46531.6772461,75953468.322753906,8,-54.3183056062
-46386.71875,75953613.28125,8,-54.3454066546
-46241.7602539,75953758.239746094,8,-54.3725925267
-46096.8017578,75953903.198242188,8,-54.399863755
-45951.8432617,75954048.156738281,8,-54.4272208773
-45806.8847656,75954193.115234375,8,-54.4546644364
-45661.9262695,75954338.073730469,8,-54.4821949802
-45516.9677734,75954483.032226562,8,-54.5098130618
-45372.0092773,75954627.990722656,8,-54.5375192398
-45227.0507812,75954772.94921875,8,-54.5653140778
-45082.0922852,75954917.907714844,8,-54.5931981453
-44937.1337891,75955062.866210938,8,-54.6211720169
-44792.175293,75955207.824707031,8,-54.6492362729
-44647.2167969,75955352.783203125,8,-54.6773914993
-44502.2583008,75955497.741699219,8,-54.7056382878
-44357.2998047,75955642.700195312,8,-54.7339772358
-44212.3413086,75955787.658691406,8,-54.7624089468
-44067.3828125,75955932.6171875,8,-54.7909340299
-43922.4243164,75956077.575683594,8,-54.8195531005
-43777.4658203,75956222.534179688,8,-54.8482667799
-43632.5073242,75956367.492675781,8,-54.8770756958
-43487.5488281,75956512.451171875,8,-54.9059804821
-43342.590332,75956657.409667969,8,-54.9349817789
-43197.6318359,75956802.368164062,8,-54.9640802328
-43052.6733398,75956947.326660156,8,-54.993276497
-42907.7148438,75957092.28515625,8,-55.0225712314
-42762.7563477,75957237.243652344,8,-55.0519651023
-42617.7978516,75957382.202148438,8,-55.081458783
-42472.8393555,75957527.160644531,8,-55.1110529536
-42327.8808594,75957672.119140625,8,-55.1407483013
-42182.9223633,75957817.077636719,8,-55.1705455203
-42037.9638672,75957962.036132812,8,-55.2004453118
-41893.0053711,75958106.994628906,8,-55.2304483846
-41748.046875,75958251.953125,8,-55.2605554545
-41603.0883789,75958396.911621094,8,-55.2907672452
-41458.1298828,75958541.870117188,8,-55.3210844875
-41313.1713867,75958686.828613281,8,-55.3515079202
-41168.2128906,75958831.787109375,8,-55.3820382899
-41023.2543945,75958976.745605469,8,-55.4126763508
-40878.2958984,75959121.704101562,8,-55.4434228656
-40733.3374023,75959266.662597656,8,-55.4742786046
-40588.3789062,75959411.62109375,8,-55.5052443467
-40443.4204102,75959556.579589844,8,-55.536320879
-40298.4619141,75959701.538085938,8,-55.5675089972
-40153.503418,75959846.496582031,8,-55.5988095054
-40008.5449219,75959991.455078125,8,-55.6302232166
-39863.5864258,75960136.413574219,8,-55.6617509527
-39718.6279297,75960281.372070312,8,-55.6933935444
-39573.6694336,75960426.330566406,8,-55.7251518315
-39428.7109375,75960571.2890625,8,-55.7570266633
-39283.7524414,75960716.247558594,8,-55.7890188983
-39138.7939453,75960861.206054688,8,-55.8211294045
-38993.8354492,75961006.164550781,8,-55.8533590596
-38848.8769531,75961151.123046875,8,-55.8857087512
-38703.918457,75961296.081542969,8,-55.9181793766
-38558.9599609,75961441.040039062,8,-55.9507718436
-38414.0014648,75961585.998535156,8,-55.9834870699
-38269.0429688,75961730.95703125,8,-56.0163259837
-38124.0844727,75961875.915527344,8,-56.0492895239
-37979.1259766,75962020.874023438,8,-56.08237864
-37834.1674805,75962165.832519531,8,-56.1155942925
-37689.2089844,75962310.791015625,8,-56.1489374528
-37544.2504883,75962455.749511719,8,-56.1824091036
-37399.2919922,75962600.708007812,8,-56.2160102391
-37254.3334961,75962745.666503906,8,-56.2497418649
-37109.375,75962890.625,8,-56.2836049986
-36964.4165039,75963035.583496094,8,-56.3176006696
-36819.4580078,75963180.541992188,8,-56.3517299195
-36674.4995117,75963325.500488281,8,-56.385993802
-36529.5410156,75963470.458984375,8,-56.4203933836
-36384.5825195,75963615.417480469,8,-56.4549297435
-36239.6240234,75963760.375976562,8,-56.4896039736
-36094.6655273,75963905.334472656,8,-56.5244171792
-35949.7070312,75964050.29296875,8,-56.5593704788
-35804.7485352,75964195.251464844,8,-56.5944650044
-35659.7900391,75964340.209960938,8,-56.6297019019
-35514.831543,75964485.168457031,8,-56.6650823311
-35369.8730469,75964630.126953125,8,-56.7006074662
-35224.9145508,75964775.085449219,8,-56.7362784957
-35079.9560547,75964920.043945312,8,-56.7720966229
-34934.9975586,75965065.002441406,8,-56.8080630659
-34790.0390625,75965209.9609375,8,-56.8441790582
-34645.0805664,75965354.919433594,8,-56.8804458485
-34500.1220703,75965499.877929688,8,-56.9168647016
-34355.1635742,75965644.836425781,8,-56.9534368978
-34210.2050781,75965789.794921875,8,-56.990163734
-34065.246582,75965934.753417969,8,-57.0270465235
-33920.2880859,75966079.711914062,8,-57.0640865964
-33775.3295898,75966224.670410156,8,-57.1012852998
-33630.3710938,75966369.62890625,8,-57.1386439983
-33485.4125977,75966514.587402344,8,-57.1761640742
-33340.4541016,75966659.545898438,8,-57.2138469277
-33195.4956055,75966804.504394531,8,-57.2516939774
-33050.5371094,75966949.462890625,8,-57.2897066605
-32905.5786133,75967094.421386719,8,-57.327886433
-32760.6201172,75967239.379882812,8,-57.3662347703
-32615.6616211,75967384.338378906,8,-57.4047531676
-32470.703125,75967529.296875,8,-57.4434431398
-32325.7446289,75967674.255371094,8,-57.4823062223
-32180.7861328,75967819.213867188,8,-57.5213439711
-32035.8276367,75967964.172363281,8,-57.5605579634
-31890.8691406,75968109.130859375,8,-57.5999497977
-31745.9106445,75968254.089355469,8,-57.6395210946
-31600.9521484,75968399.047851562,8,-57.6792734966
-31455.9936523,75968544.006347656,8,-57.7192086691
-31311.0351562,75968688.96484375,8,-57.7593283005
-31166.0766602,75968833.923339844,8,-57.7996341028
-31021.1181641,75968978.881835938,8,-57.8401278118
-30876.159668,75969123.840332031,8,-57.8808111879
-30731.2011719,75969268.798828125,8,-57.921686016
-30586.2426758,75969413.757324219,8,-57.9627541066
-30441.2841797,75969558.715820312,8,-58.004017296
-30296.3256836,75969703.674316406,8,-58.0454774467
-30151.3671875,75969848.6328125,8,-58.087136448
-30006.4086914,75969993.591308594,8,-58.1289962165
-29861.4501953,75970138.549804688,8,-58.1710586968
-29716.4916992,75970283.508300781,8,-58.2133258617
-29571.5332031,75970428.466796875,8,-58.255799713
-29426.574707,75970573.425292969,8,-58.2984822821
-29281.6162109,75970718.383789062,8,-58.3413756304
-29136.6577148,75970863.342285156,8,-58.38448185
-28991.6992188,75971008.30078125,8,-58.4278030643
-28846.7407227,75971153.259277344,8,-58.4713414286
-28701.7822266,75971298.217773438,8,-58.515099131
-28556.8237305,75971443.176269531,8,-58.5590783924
-28411.8652344,75971588.134765625,8,-58.6032814681
-28266.9067383,75971733.093261719,8,-58.6477106477
-28121.9482422,75971878.051757812,8,-58.6923682561
-27976.9897461,75972023.010253906,8,-58.7372566544
-27832.03125,75972167.96875,8,-58.7823782405
-27687.0727539,75972312.927246094,8,-58.8277354497
-27542.1142578,75972457.885742188,8,-58.8733307558
-27397.1557617,75972602.844238281,8,-58.9191666717
-27252.1972656,75972747.802734375,8,-58.9652457503
-27107.2387695,75972892.761230469,8,-59.0115705853
-26962.2802734,75973037.719726562,8,-59.0581438123
-26817.3217773,75973182.678222656,8,-59.1049681093
-26672.3632812,75973327.63671875,8,-59.152046198
-26527.4047852,75973472.595214844,8,-59.1993808445
-26382.4462891,75973617.553710938,8,-59.2469748605
-26237.487793,75973762.512207031,8,-59.2948311039
-26092.5292969,75973907.470703125,8,-59.3429524805
