wavelength_nm,dispersion_ps_per_nm_km,gdd_fiber_fs2,gdd_sf11_rod_fs2,gdd_total_fs2,tod_fiber_fs3,pulse_duration_fiber_ps,pulse_duration_fiber_sf11_rod_ps
742,-150.49490039647904,2197852.15860733,63316.15697004797,2261168.315577378,1229005.9414289782,60.93748313241042,62.69297746235752
743,-149.80317420638204,2193650.950231723,63180.51282798074,2256831.463059704,1228034.3639674343,60.821001059932414,62.57273453181144
744,-149.11573577772495,2189466.114295616,63045.418187580864,2252511.532483197,1226021.8747895625,60.70497292785267,62.452960777086446
745,-148.4327957076524,2185301.1492833747,62910.86916424391,2248212.0184476185,1222949.9820812894,60.58949573461847,62.333753088933214
746,-147.75456459330903,2181159.588360674,62776.86189068749,2243936.450251362,1218876.5636906761,60.47466744024375,62.21520932014956
747,-147.0812179111196,2177044.479641673,62643.392440327894,2239687.872082001,1214332.049947705,60.36057255627529,62.09741387342097
748,-146.41271631083308,2172955.7122661658,62510.45707695507,2235466.169343121,1209962.4996247569,60.24720800901168,61.98036357145656
749,-145.74893924273383,2168891.9623481007,62378.051987791965,2231270.0143358926,1205953.4816607414,60.134537092580324,61.86402160266872
750,-145.08976600559234,2164851.8861096683,62246.17332812569,2227098.059437794,1202313.7091780358,60.02252254959341,61.74835060306919
751,-144.4350758981792,2160834.1220539203,62114.817578469745,2222948.93963239,1199051.6473447345,59.911126631385784,61.633312726409365
752,-143.78474821926497,2156837.2909007375,61983.98090336473,2218821.271804102,1196175.8457676948,59.80031109623948,61.51886962462719
753,-143.1386622676202,2152859.995522791,61853.65970410522,2214713.655226896,1193694.9389360715,59.690037207608306,61.404982461396514
754,-142.4966973420155,2148900.820881514,61723.850466734235,2210624.671348248,1191617.646666945,59.580265732342525,61.29161190613732
755,-141.85873274122136,2144958.333963062,61594.54949798018,2206552.8834610423,1189952.774550907,59.47095693891344,61.17871812491882
756,-141.22464776400835,2141031.083714285,61465.753192253935,2202496.836906539,1188709.2143987527,59.362070595638045,61.06626078608696
757,-140.59432170914707,2137117.6009786865,61337.458228172705,2198455.059206859,1187895.9446903218,59.25356596890355,60.954199063937686
758,-139.967633875408,2133216.398432397,61209.66106706589,2194426.0594994626,1187522.0310229931,59.145401821392184,60.84249162303736
759,-139.3444635615618,2129325.970520133,61082.35805250663,2190408.3285726397,1187596.6265619558,59.037536410305584,60.73109661920686
760,-138.724690066379,2125444.7933911704,60955.54597167134,2186400.3393628416,1188128.9724916683,58.92992748558966,60.61997171331042
761,-138.10819268863008,2121571.3248353004,60829.2214762067,2182400.546311507,1189128.3984672567,58.82253228815894,60.5090740534232
762,-137.49485072708566,2117704.0042188074,60703.38102411314,2178407.3852429204,1190604.3230679915,58.715307548121494,60.3983602714448
763,-136.88454348051633,2113841.2524204263,60578.02133023187,2174419.273750658,1192566.2542519255,58.60820948300336,60.28778649381382
764,-136.2771502476926,2109981.4717673115,60453.13919104929,2170434.6109583606,1195023.7898106256,58.5011937959732,60.177308334875086
765,-135.67255032738498,2106123.045971001,60328.73125194901,2166451.77722295,1197986.617824956,58.394215674066935,60.066880888651134
766,-135.07062301836416,2102264.34006339,60204.79428301109,2162469.134346401,1201464.5171233346,58.28722978641252,59.956458734713756
767,-134.47124761940057,2098403.7003326835,60081.32506165071,2158485.025394334,1205467.3577392262,58.18019028245426,59.845995933154384
768,-133.87430342926487,2094539.4542593749,59958.320394792594,2154497.7746541677,1210003.00543623,58.07305079017776,59.73544602342385
769,-133.27967060296658,2090669.92388346,59835.77717913168,2150505.7010625917,1214868.5315796877,57.9657647867273,59.62476239662045
770,-132.68731497819155,2086794.7599942083,59713.692163306994,2146508.4521575156,1219467.9951304416,57.858322589945644,59.51393528043911
771,-132.09735993961138,2082916.0927376456,59592.06238953028,2142508.155127176,1223361.9052079811,57.75078325993868,59.40302365298292
772,-131.50994579470165,2079036.3407169115,59470.88467189208,2138507.2253888035,1226495.22380503,57.643213854528305,59.29209448374697
