wavelength_nm,dispersion_ps_per_nm_km,gdd_fiber_fs2,gdd_sf11_rod_fs2,gdd_total_fs2,tod_fiber_fs3,pulse_duration_fiber_ps,pulse_duration_fiber_sf11_rod_ps,best_grating_l_eff_cm,best_pulse_duration_grating_fiber_ps
1229.0,-33.75065784438299,1412243.4586078604,0.0,1412243.4586078604,3074342.0765673243,32.629973043375365,32.629973043375365,20.0,109.13502959426404
1230.0,-33.6,1408398.8750608796,0.0,1408398.8750608796,3091140.9236391797,32.54114490417624,32.54114490417624,20.0,109.98479864604106
1231.0,-33.44945171460871,1404540.8159929565,0.0,1404540.8159929565,3106806.3508426007,32.45200541975823,32.45200541975823,20.0,110.83983220836939
1232.0,-33.29902519115364,1400669.7702088794,0.0,1400669.7702088794,3122312.8706565043,32.362565883894746,32.362565883894746,20.0,111.70016057050789
1233.0,-33.14872045935795,1396785.7388314235,0.0,1396785.7388314235,3137856.531169466,32.27282632258933,32.27282632258933,20.0,112.56582573061081
1234.0,-32.998537548944874,1392888.7230299036,0.0,1392888.7230299036,3153437.331615657,32.18278676292179,32.18278676292179,20.0,113.43687013249706
1235.0,-32.848476489637584,1388978.724020187,0.0,1388978.724020187,3169055.270965543,32.09244723304852,32.09244723304852,20.0,114.31333667142125
1236.0,-32.69853731115929,1385055.7430647132,0.0,1385055.7430647132,3184710.347924846,32.00180776220298,32.00180776220298,20.0,115.19526869993132
1237.0,-32.54872004323319,1381119.7814725046,0.0,1381119.7814725046,3200402.5609343885,31.91086838069599,31.91086838069599,20.0,116.08271003381779
1238.0,-32.39902471558248,1377170.8405991874,0.0,1377170.8405991874,3216131.908169161,31.81962911991622,31.81962911991622,20.0,116.97570495815188
1239.0,-32.24945135793035,1373208.9218470023,0.0,1373208.9218470023,3231898.387537835,31.728090012330416,31.728090012330416,20.0,117.87429823341752
1240.0,-32.1,1369234.0266648259,0.0,1369234.0266648259,3247904.993457456,31.636251091483977,31.636251091483977,20.0,118.7785351017378
1241.0,-31.950658468570136,1365245.658034501,0.0,1365245.658034501,3265172.6085599917,31.54410087397282,31.54410087397282,20.0,119.68847281130226
1242.0,-31.80136577864146,1361241.3184999772,0.0,1361241.3184999772,3284737.907243914,31.45158165680287,31.45158165680287,20.0,120.60421532566679
1243.0,-31.652048742270185,1357217.9944386615,0.0,1357217.9944386615,3306831.6146252747,31.358623811099108,31.358623811099108,20.0,121.52587903634046
1244.0,-31.502634171512515,1353172.652930755,0.0,1353172.652930755,3331481.611785622,31.26515726214331,31.26515726214331,20.0,122.45358128929344
1245.0,-31.353048878424666,1349102.2417204233,0.0,1349102.2417204233,3358715.9330086447,31.171111488477475,31.171111488477475,20.0,123.38744039257813
1246.0,-31.20321967506284,1345003.6891769713,0.0,1345003.6891769713,3388562.76624146,31.076415521007373,31.076415521007373,20.0,124.32757562405384
1247.0,-31.053073373483254,1340873.9042560135,0.0,1340873.9042560135,3421050.453556803,30.980997942106033,30.980997942106033,20.0,125.27410723921999
1248.0,-30.90253678574211,1336709.7764606485,0.0,1336709.7764606485,3456207.4916158267,30.88478688471742,30.88478688471742,20.0,126.22715647915686
1249.0,-30.751536723895622,1332508.17580263,0.0,1332508.17580263,3494062.5321311653,30.787710031460044,30.787710031460044,20.0,127.18684557857745
1250.0,-30.6,1328265.9527635411,0.0,1328265.9527635411,3533596.7694311957,30.689694613730726,30.689694613730726,20.0,128.15329777399185
1251.0,-30.447914411110748,1323982.4699226338,0.0,1323982.4699226338,3569570.8907202315,30.590725904278706,30.590725904278706,20.0,129.12657881809102
1252.0,-30.295511694280528,1319667.2293103777,0.0,1319667.2293103777,3596664.8962268173,30.49102344511393,30.49102344511393,20.0,130.1065207580319
1253.0,-30.143084571561317,1315332.334143634,0.0,1315332.334143634,3613718.4889421565,30.390866877904674,30.390866877904674,20.0,131.09289611387493
1254.0,-29.99092576500507,1310989.9654026642,0.0,1310989.9654026642,3620618.365110344,30.290537640966736,30.290537640966736,20.0,132.0854761897483
1255.0,-29.839327996663762,1306652.3819864278,0.0,1306652.3819864278,3617250.5994704477,30.19031897284928,30.19031897284928,20.0,133.08403107812214
1256.0,-29.688583988589347,1302331.9208678734,0.0,1302331.9208678734,3603500.6433961503,30.09049591592082,30.09049591592082,20.0,134.0883296642083
1257.0,-29.538986462833805,1298040.9972492338,0.0,1298040.9972492338,3579253.3230331927,29.99135531995575,29.99135531995575,20.0,135.09813963048865
1258.0,-29.390828141449084,1293792.1047173194,0.0,1293792.1047173194,3544392.837434045,29.89318584572116,29.89318584572116,20.0,136.11322746137233
1259.0,-29.244401746487164,1289597.8153988125,0.0,1289597.8153988125,3498802.756689948,29.79627796856419,29.79627796856419,20.0,137.1333584479876
1260.0,-29.1,1285470.7801155616,0.0,1285470.7801155616,3444702.3161711083,29.700923981999846,29.700923981999846,20.0,138.15829669310637
