Offset_Hz,Offset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
33485.4125977,33.4854125977,-106.748291408,-100.978280692,-102.30961374,-103.748621393,-101.523544663
33630.3710938,33.6303710938,-106.06346518,-102.62248049,-102.309239505,-103.393983495,-100.245781232
33775.3295898,33.7753295898,-105.502361755,-102.240874407,-102.227850496,-103.58583824,-101.038641244
33920.2880859,33.9202880859,-106.15925704,-102.359983157,-101.92415372,-104.43734462,-100.931916611
34065.246582,34.065246582,-106.545196409,-103.086582448,-102.176143562,-103.459277009,-101.594771616
34210.2050781,34.2102050781,-107.504898359,-101.482207425,-104.06538965,-103.500920961,-101.959326948
34355.1635742,34.3551635742,-106.202113273,-100.379689666,-104.491059311,-104.323963636,-101.856513945
34500.1220703,34.5001220703,-105.871311358,-101.775625852,-102.847950394,-104.259170112,-100.841221396
34645.0805664,34.6450805664,-105.037081392,-101.542406036,-102.432280118,-103.894188973,-102.032921811
34790.0390625,34.7900390625,-105.777805528,-101.51032286,-102.882027145,-103.888038322,-102.050968949
34934.9975586,34.9349975586,-107.829069565,-102.170852818,-102.058179901,-103.670002065,-102.759340227
35079.9560547,35.0799560547,-107.259862951,-100.943854842,-102.952543436,-104.310823967,-101.807951204
35224.9145508,35.2249145508,-106.859157783,-101.110909993,-102.770484393,-103.965652775,-100.529757548
35369.8730469,35.3698730469,-106.881771746,-100.930306939,-104.054097605,-103.536909694,-100.419496825
35514.831543,35.514831543,-106.147279433,-101.426432257,-102.492996199,-102.046560449,-101.844351377
35659.7900391,35.6597900391,-106.854433457,-100.578870113,-101.593952526,-103.758682108,-101.181784702
35804.7485352,35.8047485352,-106.813883028,-100.931893998,-103.268680515,-103.246969937,-100.127075955
35949.7070312,35.9497070312,-106.078472158,-100.809848779,-103.317657455,-101.909102972,-100.216978485
36094.6655273,36.0946655273,-105.60550644,-102.057036869,-102.663166206,-101.801553925,-99.6397247391
36239.6240234,36.2396240234,-104.57769805,-103.244722454,-101.907632627,-102.091374293,-101.41895572
36384.5825195,36.3845825195,-104.34801598,-101.774689734,-102.339898477,-103.131087428,-101.484308132
36529.5410156,36.5295410156,-105.374534799,-101.899362401,-101.08843538,-102.879912039,-100.824175762
36674.4995117,36.6744995117,-106.86211845,-102.095927263,-102.406549558,-103.029101509,-101.306788775
36819.4580078,36.8194580078,-105.460798104,-102.109302365,-102.201209912,-103.260747261,-101.115045012
36964.4165039,36.9644165039,-105.514746072,-100.734914957,-101.500368736,-104.287109263,-99.8360548472
37109.375,37.109375,-105.356512726,-101.327410636,-102.238772695,-102.975705213,-99.6268876746
37254.3334961,37.2543334961,-106.585878217,-101.307975094,-102.593288686,-103.088294161,-100.379656643
37399.2919922,37.3992919922,-106.937772304,-101.319667527,-102.738249625,-102.532254069,-101.738668684
37544.2504883,37.5442504883,-105.491540968,-101.388718351,-102.782454271,-103.935322308,-101.600298227
37689.2089844,37.6892089844,-105.088654883,-101.276991727,-102.528955744,-104.000100805,-102.025610168
37834.1674805,37.8341674805,-105.757810504,-100.410637953,-102.743336106,-103.10235975,-102.468026395
37979.1259766,37.9791259766,-105.50522414,-101.752825844,-102.012586784,-102.939455871,-101.40290962
38124.0844727,38.1240844727,-104.903648343,-101.114160797,-101.772783205,-103.100825529,-100.94300523
38269.0429688,38.2690429688,-104.324928498,-101.078727561,-101.350720257,-102.563127167,-101.030565099
38414.0014648,38.4140014648,-104.720153459,-100.87774134,-103.283315583,-101.494268578,-100.601568385
38558.9599609,38.5589599609,-105.699520819,-101.229434688,-102.89109593,-102.980159802,-101.24655204
38703.918457,38.703918457,-106.123268158,-100.586489173,-101.219201743,-102.872570444,-99.2468965131
38848.8769531,38.8488769531,-105.843340434,-101.561371332,-101.720560319,-101.717255185,-98.3700594021
38993.8354492,38.9938354492,-105.748655103,-100.604107673,-101.45682501,-101.343972613,-98.9467282661
39138.7939453,39.1387939453,-106.137789503,-99.7821632318,-100.709221079,-102.08055447,-99.4486554534
39283.7524414,39.2837524414,-106.267816328,-100.275230412,-101.184531236,-101.775922513,-99.8163399923
39428.7109375,39.4287109375,-104.930902672,-100.359744594,-102.220855784,-102.586856154,-99.3188932273
39573.6694336,39.5736694336,-103.753660162,-99.9357015891,-102.34596507,-102.798238983,-99.1680139499
39718.6279297,39.7186279297,-103.260689057,-100.683760948,-103.001494119,-101.40929113,-99.5671612137
39863.5864258,39.8635864258,-102.919666252,-100.82827592,-102.133606338,-102.256567055,-100.212710612
40008.5449219,40.0085449219,-104.083351578,-99.7452805673,-101.3775778,-102.291121804,-99.8965835999
40153.503418,40.153503418,-107.635473646,-100.133071325,-101.342161466,-101.309029333,-99.619969923
40298.4619141,40.2984619141,-105.865260045,-99.7937840527,-100.941061421,-101.945867528,-99.3795023009
40443.4204102,40.4434204102,-105.150438763,-99.1928265696,-101.753468092,-102.504193144,-99.0745908665
