AbsOffset_Hz,AbsOffset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
33775.3295898,33.7753295898,-48.7042936993,-45.2423707837,-45.308036536,-47.0763619532,-44.2172817638
33920.2880859,33.9202880859,-48.8142453706,-45.3817769516,-44.6636082727,-47.8267095034,-43.6648609434
34065.246582,34.065246582,-49.1028158188,-45.4365505713,-45.4271750896,-47.5553915877,-44.4312520397
34210.2050781,34.2102050781,-49.7574430474,-44.4943389587,-46.59206239,-46.5355449511,-45.5380512124
34355.1635742,34.3551635742,-49.1784105563,-43.5236595066,-46.8337867938,-47.4019255364,-44.572995633
34500.1220703,34.5001220703,-49.1593266895,-44.822206758,-45.1741777411,-47.3304438026,-43.551083329
34645.0805664,34.6450805664,-48.5410580626,-45.0084065468,-45.5591519845,-46.9689120239,-45.1219189887
34790.0390625,34.7900390625,-48.220064443,-44.8817768834,-46.2191620413,-46.5218701992,-45.4519732212
34934.9975586,34.9349975586,-49.7971741005,-45.0610132241,-45.353093293,-46.7820860359,-45.3760152481
35079.9560547,35.0799560547,-50.3838580339,-44.3111375158,-46.289905602,-47.4084011988,-45.3709402964
35224.9145508,35.2249145508,-49.7544973723,-44.1440367822,-46.1053871802,-47.3446072421,-43.793382027
35369.8730469,35.3698730469,-49.9076806176,-43.8998895485,-46.5392285565,-46.6024345018,-43.5624491309
35514.831543,35.514831543,-49.7489314841,-44.2859706835,-45.7923377257,-45.9813278189,-44.9429223953
35659.7900391,35.6597900391,-49.8652613317,-43.5181326808,-45.6797007503,-46.760073086,-44.5030262276
35804.7485352,35.8047485352,-49.9094439943,-44.0258349649,-46.0825607709,-46.3850766521,-43.9268163741
35949.7070312,35.9497070312,-49.4185474047,-44.5934639262,-45.9659208718,-45.5222548768,-43.3308308335
36094.6655273,36.0946655273,-48.7810831493,-45.6908167029,-46.1557217054,-45.6539900272,-43.2224819758
36239.6240234,36.2396240234,-48.4556303205,-46.0324444973,-46.2503021641,-46.0611428038,-44.3852856432
36384.5825195,36.3845825195,-48.6709036335,-44.9695166716,-45.8544008929,-46.8677469984,-44.9335042261
36529.5410156,36.5295410156,-49.7201805999,-44.8678345073,-45.1718915175,-46.031533745,-44.6245093644
36674.4995117,36.6744995117,-50.4137520187,-44.8309330915,-45.9893810741,-46.2203759429,-44.8498977349
36819.4580078,36.8194580078,-49.9360123536,-45.2073046747,-45.7241822321,-46.6300748098,-44.718132721
36964.4165039,36.9644165039,-49.4726011378,-45.5236038403,-45.679460775,-46.7904337222,-44.2515085586
37109.375,37.109375,-49.0247380322,-45.2353554669,-45.9928993886,-46.1251424386,-43.9534683549
37254.3334961,37.2543334961,-50.1355518002,-45.077538858,-46.1393060773,-46.6200687792,-44.2245290572
37399.2919922,37.3992919922,-50.5665850453,-45.2012797473,-46.1151362026,-46.9233384013,-45.537359151
