Frequency_Hz,Frequency_MHz,Offset_Hz,TwoTapFirRejection_dB,20260515_092941_after_fir_dB,20260515_133100_after_fir_dB,20260515_134951_after_fir_dB,20260515_140509_after_fir_dB,20260521_162959_after_fir_dB
75915199.279785156,75.915199279785,-84800.7202148,-49.1053013651,-97.7662425451,-93.3157463265,-94.9021758515,-95.8021785874,-93.0773072271
75915344.23828125,75.915344238281,-84655.7617188,-49.1201616837,-98.3777067842,-93.1873857633,-94.3665551444,-96.0416075502,-93.9122140688
75915489.196777344,75.915489196777,-84510.8032227,-49.1350474701,-99.1019423597,-92.7019061418,-94.6589040645,-95.4028455674,-93.5261545578
75915634.155273438,75.915634155273,-84365.8447266,-49.1499588118,-98.7100903131,-92.0530721244,-95.8707457365,-95.1842543106,-93.7505351165
75915779.113769531,75.915779113770,-84220.8862305,-49.1648957965,-97.6819125168,-93.0020489234,-95.2054320982,-94.3824492903,-93.2859974878
75915924.072265625,75.915924072266,-84075.9277344,-49.1798585127,-99.1594060165,-93.5666270708,-94.8945291878,-95.2772334308,-92.9764794792
75916069.030761719,75.916069030762,-83930.9692383,-49.1948470492,-98.5503227697,-93.5095598353,-95.644238909,-95.1629808779,-93.470312047
75916213.989257812,75.916213989258,-83786.0107422,-49.2098614952,-97.3300882221,-94.0221078528,-95.3846572774,-94.9732586132,-93.2435447739
75916358.947753906,75.916358947754,-83641.0522461,-49.2249019404,-98.6517861948,-94.2801242524,-94.032226776,-97.2687559011,-93.8412134819
75916503.90625,75.916503906250,-83496.09375,-49.2399684752,-100.009288472,-95.0212852796,-93.9768286016,-95.7046726276,-93.5373171466
75916648.864746094,75.916648864746,-83351.1352539,-49.25506119,-99.4393789811,-93.1131194824,-95.5145549335,-95.8867351077,-94.136284527
75916793.823242188,75.916793823242,-83206.1767578,-49.2701801761,-98.2232284918,-91.9272389043,-96.8085387599,-95.87976482,-93.4730735074
75916938.781738281,75.916938781738,-83061.2182617,-49.2853255251,-98.2276848527,-93.4191320192,-95.7942447326,-95.9114663204,-92.5917171278
75917083.740234375,75.917083740234,-82916.2597656,-49.3004973291,-98.0849159665,-95.7194484098,-94.0089784331,-96.2956739418,-93.7560633174
75917228.698730469,75.917228698730,-82771.3012695,-49.3156956806,-98.2582537346,-93.8291516019,-93.9762744009,-96.2850807041,-94.3366309688
75917373.657226562,75.917373657227,-82626.3427734,-49.3309206728,-98.9323064266,-93.7974235251,-94.8157412696,-95.1226613645,-92.9644702139
75917518.615722656,75.917518615723,-82481.3842773,-49.3461723991,-99.0611378416,-94.7200425195,-96.0172829676,-95.16517965,-93.5311248412
75917663.57421875,75.917663574219,-82336.4257812,-49.3614509537,-99.3024957148,-95.3642960207,-96.07550422,-96.287120817,-92.9247453122
75917808.532714844,75.917808532715,-82191.4672852,-49.3767564311,-99.5282831861,-94.6842511038,-95.3753602226,-96.3789205684,-93.5200349029
75917953.491210938,75.917953491211,-82046.5087891,-49.3920889263,-98.1248106624,-94.2307818514,-94.6213461466,-95.2706085524,-94.265695271
75918098.449707031,75.918098449707,-81901.550293,-49.4074485349,-98.5196350016,-94.0025995646,-95.603926173,-95.202204303,-93.605375226
75918243.408203125,75.918243408203,-81756.5917969,-49.4228353529,-98.6797719677,-93.7027179667,-96.0258892642,-95.5264291614,-94.2213330925
75918388.366699219,75.918388366699,-81611.6333008,-49.438249477,-97.7245319057,-94.0228316581,-96.0894427636,-96.7611023889,-94.4654393878
75918533.325195312,75.918533325195,-81466.6748047,-49.4536910041,-98.09181623,-94.0749320549,-94.3616585829,-97.3873221728,-94.4518928611
75918678.283691406,75.918678283691,-81321.7163086,-49.469160032,-98.6237036001,-94.3935416141,-94.5046153093,-96.8696638911,-93.7134997824
75918823.2421875,75.918823242188,-81176.7578125,-49.4846566587,-98.3860370567,-93.8029147313,-95.9463700699,-96.642253436,-94.2448910714
75918968.200683594,75.918968200684,-81031.7993164,-49.500180983,-98.033827736,-94.5437462766,-96.1581269044,-95.7077162653,-95.0853958165
75919113.159179688,75.919113159180,-80886.8408203,-49.5157331039,-98.6184071841,-95.7918131294,-94.229001427,-95.0300341588,-93.7937611592
75919258.117675781,75.919258117676,-80741.8823242,-49.5313131212,-100.092181495,-94.6908749979,-94.5118899688,-96.2297522508,-93.5678930502
