Offset_Hz,Offset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
32325.7446289,32.3257446289,-49.5685923204,-45.4531835928,-47.1106354628,-46.8505308483,-44.4675804894
32470.703125,32.470703125,-48.907250811,-44.6157631576,-45.8687995954,-47.4451020048,-44.107516938
32615.6616211,32.6156616211,-49.4512251728,-44.2238324227,-44.2111151768,-47.5555389051,-44.4334032161
32760.6201172,32.7606201172,-49.4697342372,-45.8744493952,-44.5477354927,-46.5206215639,-43.5428784096
32905.5786133,32.9055786133,-49.751331009,-43.6431108168,-44.5593627645,-46.1781035808,-43.4726827958
33050.5371094,33.0505371094,-49.2661369604,-43.4213811827,-45.4091360343,-45.5956454705,-43.8541650869
33195.4956055,33.1954956055,-48.4041245649,-44.5600378978,-46.0032654472,-46.1412413912,-43.0386243085
33340.4541016,33.3404541016,-48.3587187247,-43.9257975734,-46.1576968846,-46.9821698159,-44.3909205711
33485.4125977,33.4854125977,-49.5721273341,-43.8021166176,-45.133449666,-46.5724573192,-44.3473805883
33630.3710938,33.6303710938,-48.9248211814,-45.4838364917,-45.1705955065,-46.255339497,-43.1071372332
33775.3295898,33.7753295898,-48.4010764552,-45.1395891075,-45.1265651963,-46.4845529407,-43.9373559443
33920.2880859,33.9202880859,-49.0951704434,-45.2958965606,-44.8600671232,-47.3732580236,-43.8678300142
34065.246582,34.065246582,-49.5181498856,-46.0595359242,-45.1490970384,-46.4322304853,-44.5677250923
34210.2050781,34.2102050781,-50.5147346248,-44.4920436914,-47.0752259157,-46.5107572268,-44.969163214
34355.1635742,34.3551635742,-49.2486763748,-43.4262527685,-47.5376224132,-47.3705267386,-44.9030770477
34500.1220703,34.5001220703,-48.9544466567,-44.8587611502,-45.931085692,-47.3423054103,-43.9243566945
34645.0805664,34.6450805664,-48.1566355434,-44.6619601877,-45.5518342696,-47.0137431247,-45.1524759626
34790.0390625,34.7900390625,-48.9336264702,-44.6661438016,-46.0378480869,-47.043859264,-45.2067898908
34934.9975586,34.9349975586,-51.0210064994,-45.362789752,-45.250116835,-46.8619389987,-45.9512771607
35079.9560547,35.0799560547,-50.4877663284,-44.1717582191,-46.1804468127,-47.5387273437,-45.0358545807
35224.9145508,35.2249145508,-50.1228792871,-44.374631497,-46.0342058968,-47.229374279,-43.7934790521
35369.8730469,35.3698730469,-50.1811642802,-44.2296994731,-47.3534901389,-46.8363022281,-43.7188893588
35514.831543,35.514831543,-49.482197102,-44.7613499263,-45.8279138675,-45.3814781175,-45.1792690458
35659.7900391,35.6597900391,-50.2247315548,-43.9491682113,-44.9642506241,-47.1289802063,-44.5520827999
35804.7485352,35.8047485352,-50.2194180236,-44.3374289932,-46.6742155107,-46.6525049324,-43.5326109502
35949.7070312,35.9497070312,-49.5191016791,-44.2504783005,-46.7582869764,-45.3497324934,-43.657608006
36094.6655273,36.0946655273,-49.0810892604,-45.5326196895,-46.1387490265,-45.2771367462,-43.1153075599
36239.6240234,36.2396240234,-48.0880940759,-46.7551184808,-45.4180286537,-45.6017703194,-44.9293517461
36384.5825195,36.3845825195,-47.8930862361,-45.3197599905,-45.8849687331,-46.6761576847,-45.0293783888
36529.5410156,36.5295410156,-48.9541414157,-45.4789690172,-44.6680419964,-46.4595186558,-44.4037823788
36674.4995117,36.6744995117,-50.4761246484,-45.7099334609,-46.0205557563,-46.6431077068,-44.9207949734
36819.4580078,36.8194580078,-49.1090681843,-45.7575724459,-45.8494799923,-46.9090173416,-44.7633150927
36964.4165039,36.9644165039,-49.1971454019,-44.4173142877,-45.1827680663,-47.9695085936,-43.5184541775
37109.375,37.109375,-49.0729077272,-45.0438056369,-45.9551676962,-46.6921002143,-43.343282676
37254.3334961,37.2543334961,-50.3361363516,-45.0582332294,-46.3435468211,-46.8385522961,-44.1299147783
37399.2919922,37.3992919922,-50.7217620651,-45.1036572875,-46.5222393855,-46.3162438296,-45.5226584454
