AbsOffset_Hz,AbsOffset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
32905.5786133,32.9055786133,-107.247955867,-100.758650443,-103.399216152,-104.562255077,-100.767668959
33050.5371094,33.0505371094,-107.245813411,-100.631933211,-103.225045867,-103.560304485,-100.753972209
33195.4956055,33.1954956055,-105.895386598,-101.555675172,-103.974225339,-103.820306378,-100.158554227
33340.4541016,33.3404541016,-105.771871902,-101.697474872,-103.856386133,-104.014150094,-101.362242984
33485.4125977,33.4854125977,-107.080291626,-101.814506489,-102.558979426,-104.363379412,-101.524334872
33630.3710938,33.6303710938,-106.187071202,-102.066804429,-103.022926206,-104.268427617,-100.73365349
33775.3295898,33.7753295898,-105.805578999,-102.343656084,-102.409321836,-104.177647253,-101.318567064
33920.2880859,33.9202880859,-105.878331967,-102.445863548,-101.727694869,-104.8907961,-100.72894754
34065.246582,34.065246582,-106.129862342,-102.463597095,-102.454221613,-104.582438112,-101.458298563
34210.2050781,34.2102050781,-106.747606781,-101.484502693,-103.582226124,-103.525708685,-102.528214947
34355.1635742,34.3551635742,-106.131847454,-100.477096404,-103.787223692,-104.355362434,-101.526432531
34500.1220703,34.5001220703,-106.076191391,-101.739071459,-102.091042443,-104.247308504,-100.46794803
34645.0805664,34.6450805664,-105.421503911,-101.888852395,-102.439597833,-103.849357873,-102.002364837
34790.0390625,34.7900390625,-105.064243501,-101.725955942,-103.0633411,-103.366049257,-102.29615228
34934.9975586,34.9349975586,-106.605237166,-101.86907629,-102.161156359,-103.590149102,-102.184078314
35079.9560547,35.0799560547,-107.155954657,-101.083234138,-103.062002225,-104.180497822,-102.14303692
35224.9145508,35.2249145508,-106.490775868,-100.880315278,-102.841665676,-104.080885738,-100.529660523
35369.8730469,35.3698730469,-106.608288083,-100.600497015,-103.239836023,-103.303041968,-100.263056597
35514.831543,35.514831543,-106.414013815,-100.951053014,-102.457420057,-102.64641015,-101.608004726
35659.7900391,35.6597900391,-106.494963234,-100.147834583,-102.309402652,-103.389774988,-101.13272813
35804.7485352,35.8047485352,-106.503908999,-100.620299969,-102.677025775,-102.979541657,-100.521281378
35949.7070312,35.9497070312,-105.977917883,-101.152834405,-102.52529135,-102.081625355,-99.8902013124
36094.6655273,36.0946655273,-105.305500329,-102.215233883,-102.680138884,-102.178407206,-99.746899155
36239.6240234,36.2396240234,-104.945234294,-102.52204847,-102.739906138,-102.550746777,-100.874889617
36384.5825195,36.3845825195,-105.125833377,-101.424446415,-102.309330636,-103.322676742,-101.388433969
36529.5410156,36.5295410156,-106.140573984,-101.288227891,-101.592284901,-102.451927129,-101.044902748
36674.4995117,36.6744995117,-106.79974582,-101.216926893,-102.375374876,-102.606369745,-101.235891536
36819.4580078,36.8194580078,-106.287742273,-101.559034594,-102.075912152,-102.981804729,-101.06986264
36964.4165039,36.9644165039,-105.790201807,-101.84120451,-101.997061444,-103.108034392,-100.569109228
37109.375,37.109375,-105.308343031,-101.518960466,-102.276504387,-102.408747437,-100.237073353
37254.3334961,37.2543334961,-106.385293666,-101.327280723,-102.389047942,-102.869810644,-100.474270922
37399.2919922,37.3992919922,-106.782595285,-101.417289986,-102.331146442,-103.139348641,-101.75336939
37544.2504883,37.5442504883,-105.965760625,-101.666902887,-103.242759011,-103.732229011,-101.906233771
37689.2089844,37.6892089844,-105.677922787,-101.648241064,-102.490480299,-103.704996481,-101.599723097
37834.1674805,37.8341674805,-106.133569111,-100.634662087,-102.244189342,-102.575098985,-101.693272285
37979.1259766,37.9791259766,-105.902949151,-101.794419909,-101.851462325,-102.666310898,-100.704675498
38124.0844727,38.1240844727,-105.332372486,-101.159697346,-101.73720702,-103.253530945,-100.245555724
38269.0429688,38.2690429688,-105.135319211,-100.932538505,-101.387297341,-102.495491976,-100.675689021
38414.0014648,38.4140014648,-104.892863035,-101.760196424,-102.568590223,-101.821470795,-100.555458657
38558.9599609,38.5589599609,-105.814710083,-101.149567966,-102.263311887,-103.16466768,-101.325266142
38703.918457,38.703918457,-106.107113681,-100.459684461,-101.086326668,-102.322907253,-99.9417978356
38848.8769531,38.8488769531,-105.776936626,-101.166985393,-101.799805523,-101.678776221,-98.7618211937
38993.8354492,38.9938354492,-105.687136866,-100.505119076,-101.816255503,-102.091648146,-99.1303294157
39138.7939453,39.1387939453,-105.841341962,-99.8770540128,-101.176939506,-102.038428666,-99.7889901177
39283.7524414,39.2837524414,-105.395398251,-100.177178748,-101.564587567,-101.63128446,-99.752694607
39428.7109375,39.4287109375,-104.949119252,-99.9388593592,-101.593569895,-102.510298055,-99.1783580632
39573.6694336,39.5736694336,-104.39844989,-99.9787368716,-101.512268332,-103.549472355,-99.2401191921
39718.6279297,39.7186279297,-104.054214561,-101.000262654,-102.439415477,-101.856011367,-99.3259318421
39863.5864258,39.8635864258,-103.709671566,-101.172614882,-101.864479937,-102.371686707,-99.9948238789
40008.5449219,40.0085449219,-104.621651144,-100.060358832,-100.969052611,-102.108378045,-99.3444852367
40153.503418,40.153503418,-106.549309432,-100.630499475,-101.327581314,-101.912541985,-99.2155916969
