Frequency_Hz,Frequency_MHz,OffsetFrom76MHz_MHz,TwoTapDelaySamples,NormalizedFirRejection_dB
38586917.383476697,38.586917383477,-37.413082616523,8,-0.00255654491527
38622124.424884975,38.622124424885,-37.377875575115,8,-0.00287249480627
38657331.46629326,38.657331466293,-37.342668533707,8,-0.00320685383016
38692538.507701539,38.692538507702,-37.307461492298,8,-0.00355962340431
38727745.549109824,38.727745549110,-37.272254450890,8,-0.00393080502423
38762952.590518102,38.762952590518,-37.237047409482,8,-0.00432040026364
38798159.631926388,38.798159631926,-37.201840368074,8,-0.00472841077444
38833366.673334666,38.833366673335,-37.166633326665,8,-0.0051548382868
38868573.714742951,38.868573714743,-37.131426285257,8,-0.00559968460914
38903780.756151229,38.903780756151,-37.096219243849,8,-0.0060629516282
38938987.797559515,38.938987797560,-37.061012202440,8,-0.00654464130904
38974194.838967793,38.974194838968,-37.025805161032,8,-0.0070447556951
39009401.880376078,39.009401880376,-36.990598119624,8,-0.00756329690819
39044608.921784356,39.044608921784,-36.955391078216,8,-0.00810026714861
39079815.963192642,39.079815963193,-36.920184036807,8,-0.00865566869508
39115023.00460092,39.115023004601,-36.884976995399,8,-0.00922950390486
39150230.046009205,39.150230046009,-36.849769953991,8,-0.00982177521378
39185437.087417483,39.185437087417,-36.814562912583,8,-0.0104324851362
39220644.128825769,39.220644128826,-36.779355871174,8,-0.0110616362653
39255851.170234047,39.255851170234,-36.744148829766,8,-0.0117092312726
39291058.211642332,39.291058211642,-36.708941788358,8,-0.0123752729087
39326265.25305061,39.326265253051,-36.673734746949,8,-0.0130597640028
39361472.294458896,39.361472294459,-36.638527705541,8,-0.0137627074629
39396679.335867174,39.396679335867,-36.603320664133,8,-0.0144841062759
39431886.377275452,39.431886377275,-36.568113622725,8,-0.0152239635078
39467093.418683738,39.467093418684,-36.532906581316,8,-0.0159822823033
39502300.460092016,39.502300460092,-36.497699539908,8,-0.0167590658862
39537507.501500301,39.537507501500,-36.462492498500,8,-0.0175543175596
39572714.542908579,39.572714542909,-36.427285457091,8,-0.0183680407054
39607921.584316865,39.607921584317,-36.392078415683,8,-0.0192002387849
39643128.625725143,39.643128625725,-36.356871374275,8,-0.0200509153387
39678335.667133428,39.678335667133,-36.321664332867,8,-0.0209200739866
39713542.708541706,39.713542708542,-36.286457291458,8,-0.0218077184278
39748749.749949992,39.748749749950,-36.251250250050,8,-0.0227138524409
39783956.79135827,39.783956791358,-36.216043208642,8,-0.0236384798842
39819163.832766555,39.819163832767,-36.180836167233,8,-0.0245816046954
39854370.874174833,39.854370874175,-36.145629125825,8,-0.0255432308918
39889577.915583119,39.889577915583,-36.110422084417,8,-0.0265233625705
39924784.956991397,39.924784956991,-36.075215043009,8,-0.0275220039084
39959991.998399682,39.959991998400,-36.040008001600,8,-0.0285391591622
39995199.03980796,39.995199039808,-36.004800960192,8,-0.0295748326686
40030406.081216246,40.030406081216,-35.969593918784,8,-0.0306290288441
40065613.122624524,40.065613122625,-35.934386877375,8,-0.0317017521854
40100820.164032809,40.100820164033,-35.899179835967,8,-0.0327930072695
40136027.205441087,40.136027205441,-35.863972794559,8,-0.0339027987533
40171234.246849373,40.171234246849,-35.828765753151,8,-0.0350311313743
40206441.288257651,40.206441288258,-35.793558711742,8,-0.0361780099502
40241648.329665937,40.241648329666,-35.758351670334,8,-0.0373434393793
40276855.371074215,40.276855371074,-35.723144628926,8,-0.0385274246404
40312062.4124825,40.312062412482,-35.687937587518,8,-0.0397299707929
40347269.453890778,40.347269453891,-35.652730546109,8,-0.0409510829769
40382476.495299064,40.382476495299,-35.617523504701,8,-0.0421907664135
