pair,averaging_frames,tau_s,allan_variance,allan_deviation,overlapping_terms,variance_unit
"(2,2)-(8,8)",35,0.4824110265371928,280.8265866893045,16.757881330565166,120253,urad^4
"(1,2)-(7,8)",35,0.4824110265371928,291.6251284476727,17.077035118769086,120253,urad^4
"(7,1)-(8,2)",35,0.4824110265371928,51.11775280289433,7.149668020467407,120253,urad^4
"(3,1)-(8,6)",35,0.4824110265371928,463.34080983405886,21.525352722639852,120253,urad^4
"(3,2)-(8,7)",35,0.4824110265371928,466.4007108947966,21.596312437423123,120253,urad^4
"(7,2)-(8,3)",39,0.5375437152843006,51.243030820325835,7.158423766467436,120245,urad^4
"(1,3)-(6,8)",39,0.5375437152843006,397.3101959468162,19.93264146937922,120245,urad^4
"(2,3)-(7,8)",39,0.5375437152843006,385.6262447692909,19.637368580573387,120245,urad^4
"(6,1)-(8,3)",39,0.5375437152843006,193.54658244911698,13.912102014042198,120245,urad^4
"(2,2)-(8,8)",39,0.5375437152843006,270.88070943735715,16.458454041536136,120245,urad^4
"(1,2)-(7,8)",39,0.5375437152843006,281.4763758222319,16.777257696722426,120245,urad^4
"(7,1)-(8,2)",39,0.5375437152843006,49.261726403454965,7.018669845736795,120245,urad^4
"(3,1)-(8,6)",39,0.5375437152843006,447.57643403748386,21.156002317013577,120245,urad^4
"(3,2)-(8,7)",39,0.5375437152843006,449.82133116576415,21.208991752692164,120245,urad^4
"(7,2)-(8,3)",44,0.6064595762181852,48.491324915496016,6.963571275968676,120235,urad^4
"(1,3)-(6,8)",44,0.6064595762181852,376.44866990244486,19.402285172176107,120235,urad^4
"(2,3)-(7,8)",44,0.6064595762181852,365.2872155194877,19.112488470094302,120235,urad^4
"(6,1)-(8,3)",44,0.6064595762181852,183.23618081585315,13.53647593784487,120235,urad^4
"(2,2)-(8,8)",44,0.6064595762181852,256.69148993189697,16.021594487812283,120235,urad^4
"(1,2)-(7,8)",44,0.6064595762181852,266.8459315665238,16.335419540572683,120235,urad^4
"(7,1)-(8,2)",44,0.6064595762181852,46.6328895801698,6.82882783354287,120235,urad^4
"(3,1)-(8,6)",44,0.6064595762181852,424.64769145282975,20.606981619170472,120235,urad^4
"(3,2)-(8,7)",44,0.6064595762181852,426.1822327795109,20.644181572043752,120235,urad^4
"(7,2)-(8,3)",50,0.6891586093388469,45.22454411630848,6.724919636420087,120223,urad^4
"(1,3)-(6,8)",50,0.6891586093388469,351.2220521369706,18.740919191356934,120223,urad^4
"(2,3)-(7,8)",50,0.6891586093388469,340.7862725160199,18.460397409482276,120223,urad^4
"(6,1)-(8,3)",50,0.6891586093388469,170.87767414037057,13.07201874770575,120223,urad^4
"(2,2)-(8,8)",50,0.6891586093388469,239.53581736624335,15.476944703856875,120223,urad^4
"(1,2)-(7,8)",50,0.6891586093388469,249.06081925165213,15.781660852129985,120223,urad^4
